               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.045107,            0.014311,            0.003209,             0.73256,             0.56997,              0.6207,             0.34432,            0.044571,            0.016286,            0.014063,            0.005116,            0.005116,            0.005116
                 150,             0.04492,            0.013792,           0.0034458,             0.80822,             0.57608,             0.60797,             0.34318,            0.044539,            0.016294,            0.014098,            0.005083,            0.005083,            0.005083
                 151,            0.045384,            0.014353,           0.0032451,             0.68869,             0.55858,             0.59904,             0.33539,            0.044693,            0.016461,            0.013947,             0.00505,             0.00505,             0.00505
                 152,            0.044934,            0.014463,            0.003191,             0.71435,             0.54453,             0.59549,             0.33471,            0.044585,            0.016197,            0.013899,            0.005017,            0.005017,            0.005017
                 153,            0.044635,            0.014658,           0.0032075,              0.7566,             0.53415,             0.60442,             0.33989,            0.044524,            0.016205,            0.013999,            0.004984,            0.004984,            0.004984
                 154,            0.044757,            0.014505,           0.0032363,             0.70538,             0.59801,             0.61673,             0.34927,            0.044634,            0.016267,            0.014252,            0.004951,            0.004951,            0.004951
                 155,            0.045082,            0.014309,           0.0032308,             0.75309,             0.57168,             0.63717,             0.34941,            0.044566,            0.016318,            0.014371,            0.004918,            0.004918,            0.004918
                 156,            0.045185,            0.014757,           0.0030897,             0.66388,             0.58409,             0.60762,             0.33968,            0.044583,              0.0163,            0.014609,            0.004885,            0.004885,            0.004885
                 157,            0.045047,            0.014496,           0.0030688,             0.78537,             0.51811,             0.60532,             0.33699,            0.044529,             0.01629,            0.014598,            0.004852,            0.004852,            0.004852
                 158,            0.045465,            0.014925,           0.0031233,             0.73947,             0.54986,             0.61767,             0.34984,            0.044455,            0.016145,            0.013945,            0.004819,            0.004819,            0.004819
                 159,            0.044332,            0.014266,           0.0030326,             0.70574,             0.58849,             0.61881,             0.34784,            0.044388,            0.016151,             0.01427,            0.004786,            0.004786,            0.004786
